,Band,Song,Player,Technique,Difficulty,Score,Spotify danceability,Spotify energy,Spotify loudness,Spotify valence,Guitar difficulty,Guitar score,Guitar librosa 1,Guitar librosa 2,Bass difficulty,Bass score,Drums difficulty,Drums score,Piano difficulty,Piano score
2958,Lithium,Shafted,Tom,['Distortion Guitar'],Intermediate,3/8,0.01,0.86,0.25,0.18,Intermediate,3/8,0.49,0.56,Advanced,6/8,Advanced,8/8,Beginner,8/8
2959,Lithium,My Glass Is Half Empty,```Tom,['Distortion Guitar'],Beginner,2/8,0.1,0.17,0.55,0.58,Beginner,2/8,0.22,0.46,Advanced,6/8,Beginner,6/8,Beginner,6/8
2960,Galneryus,Raise My Sword Solo,Track 1,['Distortion Guitar'],Advanced,8/8,0.6,0.76,0.29,0.04,Advanced,8/8,0.93,0.38,Intermediate,8/8,Beginner,7/8,Advanced,4/8
2961,Presidents Of The United States Of America,Peaches,Chris Ballew,"['Vocals', 'Trumpet']",,,0.65,0.23,0.75,0.16,,,0.37,0.6,Advanced,3/8,Advanced,1/8,Intermediate,5/8
2962,Candlemass,Black Stone Wielder,Rhythm Guitar,['Distortion Guitar'],Intermediate,3/8,0.58,0.31,0.71,0.84,Intermediate,3/8,0.06,0.03,Advanced,7/8,Advanced,1/8,Beginner,6/8
2963,Tank,Walking Barefoot Over Glass,Guitar 1,['Distortion Guitar'],Intermediate,3/8,0.41,0.8,0.87,0.42,Intermediate,3/8,0.94,0.57,Beginner,5/8,Beginner,6/8,Beginner,7/8
2964,Megumi Nakajima,サタデー・ナイト・クエスチョン (Saturday Night Question),Reverse Cymbal,[],,,0.4,0.91,0.04,0.39,,,0.64,0.13,Beginner,8/8,Intermediate,8/8,Beginner,1/8
2965,Nirvana,Beeswax,Kurt Cobain,"['Distortion Guitar', 'Distortion Guitar']",Beginner,2/8,0.62,0.96,0.75,0.37,Beginner,2/8,0.52,0.26,Intermediate,1/8,Beginner,8/8,Beginner,6/8
2966,Чёрный Обелиск,Про любовь (Дура),Track 3,['Distortion Guitar'],Intermediate,3/8,0.21,0.51,0.43,0.43,Intermediate,3/8,0.37,0.79,Beginner,8/8,Beginner,3/8,Advanced,2/8
2967,Manilla Road,Necropolis,Additional Guitar,['Overdriven Guitar'],Beginner,2/8,0.77,0.32,0.66,0.39,Beginner,2/8,0.4,0.86,Intermediate,1/8,Advanced,2/8,Beginner,8/8
2968,Lithium,Oily Hair,`Tom,['Distortion Guitar'],Intermediate,4/8,0.31,0.5,0.28,0.1,Intermediate,4/8,0.12,0.29,Advanced,7/8,Beginner,7/8,Intermediate,1/8
2969,Cattle Decapitation,Kingdom Of Tyrants,Josh Elmore (Rhythm),['Distortion Guitar'],Intermediate,4/8,0.12,0.03,0.56,0.53,Intermediate,4/8,0.34,0.77,Beginner,1/8,Intermediate,4/8,Intermediate,5/8
2970,Tyoma,The King Of Judea,Distortion Guitar 3,[],Intermediate,5/8,0.42,0.19,0.49,0.0,Intermediate,5/8,0.01,0.46,Intermediate,5/8,Advanced,4/8,Intermediate,1/8
2971,Dark Funeral,The Arrival of Satan's Empire,Track 1,['Distortion Guitar'],Intermediate,4/8,0.31,0.58,0.42,0.76,Intermediate,4/8,0.86,0.38,Intermediate,6/8,Beginner,3/8,Advanced,5/8
2972,Extreme,Play With Me - Solo,Nuno Bettencourt,"['Guitar Solo', 'Distortion Guitar']",Advanced,8/8,0.33,0.73,0.37,0.02,Advanced,8/8,0.61,0.81,Beginner,8/8,Beginner,1/8,Intermediate,8/8
2973,Fido Jack Harper,ska,Distortion Guitar 1,[],Beginner,2/8,0.16,0.05,0.3,0.74,Beginner,2/8,0.58,0.69,Intermediate,5/8,Intermediate,6/8,Advanced,1/8
2974,Fido Jack Harper,ska,Overdriven Guitar 3,[],Beginner,2/8,0.98,0.86,0.46,0.28,Beginner,2/8,0.81,0.71,Advanced,7/8,Intermediate,2/8,Intermediate,7/8
2975,Fido Jack Harper,indie,Overdriven Guitar 1,[],Intermediate,3/8,0.08,0.11,0.01,0.38,Intermediate,3/8,0.0,0.87,Intermediate,2/8,Intermediate,6/8,Advanced,2/8
2976,And End...,Funeral Waltz,Track 1,['Distortion Guitar 2'],Beginner,2/8,0.1,0.38,0.29,0.54,Beginner,2/8,0.43,0.66,Beginner,5/8,Advanced,4/8,Beginner,7/8
2977,Ethan Kral,Silience,Guitar 2,['Electric Guitar (clean)'],Intermediate,3/8,0.19,0.54,0.73,0.16,Intermediate,3/8,0.58,0.72,Advanced,8/8,Beginner,1/8,Intermediate,4/8
2978,Unnamed,Song 1,Lead Guitar,"['Charlie', 'Electric Guitar (clean)']",Beginner,2/8,0.67,0.35,0.3,0.29,Beginner,2/8,0.58,0.96,Beginner,2/8,Beginner,7/8,Advanced,2/8
2979,Serj Tankian,Bari Aragil,Track 4,['Overdriven Guitar'],Beginner,2/8,0.05,0.94,0.32,0.41,Beginner,2/8,0.72,0.53,Intermediate,1/8,Intermediate,3/8,Beginner,6/8
2980,Face Of Death,Riot Uncontrol,Lead Guitar,['Distortion Guitar'],Intermediate,3/8,0.27,0.68,0.6,0.5,Intermediate,3/8,0.71,0.66,Beginner,5/8,Advanced,2/8,Intermediate,5/8
2981,Its Always You,Falling Off our Seats,Lead Guitar,['Overdriven Guitar'],Beginner,2/8,0.08,0.92,0.82,0.99,Beginner,2/8,0.6,0.22,Beginner,4/8,Advanced,2/8,Intermediate,2/8
2982,The Polythenes,It's So Easy Cover,Backing Vocals,['Violin'],,,0.99,0.3,0.32,0.09,,,0.32,0.26,Advanced,1/8,Beginner,2/8,Intermediate,8/8
2983,Dark Funeral,Unchain My Soul,Rhythm Guitar,['Distortion Guitar 1'],Beginner,2/8,0.3,0.49,0.32,0.24,Beginner,2/8,0.34,0.02,Advanced,7/8,Advanced,2/8,Intermediate,5/8
2984,Rom,Pathways,Lead Guitar Left,['Distortion Guitar'],Intermediate,4/8,0.84,0.48,0.12,0.28,Intermediate,4/8,0.37,0.96,Advanced,8/8,Intermediate,7/8,Advanced,2/8
2985,Liam Arellano (Quixöte),Frozen,Pista 3,['Distortion Guitar'],Intermediate,3/8,0.97,0.53,0.24,0.18,Intermediate,3/8,0.68,0.61,Intermediate,2/8,Intermediate,4/8,Beginner,3/8
2986,Jimi Hendrix,All along the watchtower easy bass,Guitar II,['Acoustic Guitar (steel)'],Beginner,2/8,0.14,0.92,0.69,0.55,Beginner,2/8,0.38,0.72,Intermediate,4/8,Intermediate,1/8,Beginner,5/8
2987,Fsdkfdhugf,phjsiodfhufiosd,E.Guitar I (Right),['Distortion Guitar'],Beginner,2/8,0.03,0.79,0.85,0.56,Beginner,2/8,0.15,0.95,Intermediate,7/8,Advanced,6/8,Intermediate,1/8
2988,Scorpions,Pictured Life,Uli Jon Roth Overdubs,['Distortion Guitar'],Intermediate,5/8,0.37,0.03,0.23,0.63,Intermediate,5/8,0.15,0.43,Intermediate,8/8,Intermediate,3/8,Beginner,8/8
2989,Black Sabbath,Sins Of The Father,Track 1,['Distortion Guitar'],Beginner,2/8,0.72,0.57,0.18,0.17,Beginner,2/8,0.32,0.56,Beginner,1/8,Intermediate,5/8,Intermediate,5/8
2990,Tk From Ling Tosite Sigure,katharsis,rythm,['Overdriven Guitar'],Beginner,2/8,0.13,0.05,0.88,0.64,Beginner,2/8,0.81,0.08,Advanced,3/8,Advanced,3/8,Beginner,6/8
2991,Lithium,Hourglass Figure,Tom,['Distortion Guitar'],Beginner,2/8,0.39,0.13,0.51,0.23,Beginner,2/8,0.04,0.91,Advanced,8/8,Intermediate,5/8,Intermediate,7/8
2992,Sex Pistols,The Great Rock and Roll Swindle,Rhythmn Guitar,['Distortion Guitar'],Beginner,2/8,0.07,0.86,0.09,0.15,Beginner,2/8,0.65,0.39,Intermediate,5/8,Beginner,2/8,Intermediate,1/8
2993,Dskjsfd,dsjiohsfdugh8sd,Clean Guitar,['Electric Guitar (clean)'],Beginner,2/8,0.49,0.58,0.91,0.07,Beginner,2/8,0.83,0.03,Beginner,8/8,Advanced,1/8,Beginner,3/8
2994,Hoodini,until it pres,James (Dist),['Distortion Guitar'],Intermediate,3/8,0.87,0.7,0.39,0.89,Intermediate,3/8,0.73,0.6,Beginner,4/8,Advanced,2/8,Intermediate,7/8
2995,Lithium,Scum,Tom,['Distortion Guitar'],Beginner,2/8,0.23,0.94,0.05,0.69,Beginner,2/8,0.09,0.3,Intermediate,4/8,Intermediate,8/8,Beginner,6/8
2996,Lithium,Sheep,Tom,['Distortion Guitar'],Beginner,2/8,0.57,0.61,0.98,0.83,Beginner,2/8,0.19,0.5,Beginner,4/8,Advanced,5/8,Advanced,3/8
2997,Kirisute,Total Annihilation,Artiom,['Distortion Guitar'],Intermediate,3/8,0.23,0.25,0.99,0.38,Intermediate,3/8,0.21,0.13,Intermediate,5/8,Intermediate,3/8,Beginner,7/8
2998,Rage,In A Nameless Time,Distortion Guitar 2,[],Beginner,2/8,0.15,0.28,0.54,0.1,Beginner,2/8,0.55,0.72,Beginner,3/8,Beginner,8/8,Advanced,4/8
2999,Rage,Let Them Rest in Peace,Electric Guitar,['Distortion Guitar 2'],Intermediate,4/8,0.3,0.51,0.98,0.96,Intermediate,4/8,0.63,0.87,Beginner,2/8,Advanced,3/8,Intermediate,5/8
3000,Richard Renck,Bass Groove,Pista 4,['Distortion Guitar'],Intermediate,4/8,0.88,0.08,0.22,0.99,Intermediate,4/8,0.19,0.84,Intermediate,1/8,Advanced,8/8,Intermediate,8/8
3001,Staind,It's Been A While,Aaron Lewis (Acoustic Guitar),['Acoustic Guitar (steel)'],Beginner,1/8,0.9,0.66,0.16,0.76,Beginner,1/8,0.41,0.78,Intermediate,2/8,Intermediate,5/8,Beginner,8/8
3002,Massacra,Seas Of Blood,Distortion Guitar,[],Intermediate,4/8,0.69,0.26,0.5,0.61,Intermediate,4/8,0.3,0.66,Intermediate,8/8,Beginner,1/8,Intermediate,7/8
3003,The Killers,Smile Like You Mean It,Dave Keuning,"['Rhythm Guitar', 'Overdriven Guitar']",Beginner,2/8,0.57,0.58,0.34,0.02,Beginner,2/8,0.76,0.28,Beginner,2/8,Advanced,5/8,Intermediate,3/8
3004,Lovejoy,The Fall,Wilbur Soot,"['Rhythm Guitar', 'Overdriven Guitar']",Beginner,2/8,0.56,0.9,0.19,0.29,Beginner,2/8,0.99,0.53,Advanced,5/8,Beginner,3/8,Beginner,5/8
3005,Lithium,Bludgeoned,Tom,['Distortion Guitar'],Beginner,2/8,0.5,0.92,0.75,0.73,Beginner,2/8,0.84,0.15,Beginner,5/8,Beginner,4/8,Advanced,4/8
3006,Lithium,The Way I See It,Tom W. (Acoustic Guitar),['Acoustic Guitar (steel)'],Beginner,2/8,0.26,0.72,0.95,0.28,Beginner,2/8,0.9,0.97,Beginner,5/8,Advanced,2/8,Advanced,8/8
3007,Lithium,Make Me Cry,Tom W. (Solo),['Distortion Guitar'],Intermediate,3/8,0.96,0.05,0.78,0.77,Intermediate,3/8,0.27,0.56,Intermediate,4/8,Beginner,3/8,Beginner,4/8
3008,Lithium,I Think We Should Stop Holding Hands,Tom,"['Guitar', 'Distortion Guitar']",Beginner,2/8,0.12,0.12,0.42,0.44,Beginner,2/8,0.18,0.18,Beginner,8/8,Advanced,3/8,Beginner,2/8
3009,Lithium,Extra Numb,Tom W. (Overdubs),['Overdriven Guitar'],Beginner,2/8,0.46,0.75,0.16,0.68,Beginner,2/8,0.27,0.7,Beginner,7/8,Advanced,3/8,Intermediate,7/8
3010,Lithium,Hate You,Tom W. (Clean),['Electric Guitar (clean)'],Beginner,2/8,0.46,0.89,0.26,0.93,Beginner,2/8,0.04,0.02,Beginner,1/8,Intermediate,7/8,Intermediate,7/8
3011,Lithium,For A Boy,Tom W. (Clean),['Electric Guitar (clean)'],Intermediate,3/8,0.59,0.58,0.63,0.15,Intermediate,3/8,0.53,0.48,Intermediate,5/8,Beginner,2/8,Advanced,8/8
3012,Lithium,Anti-Optimist,Tom,"['Rhythm', 'Distortion Guitar']",Beginner,2/8,0.42,0.57,0.25,0.2,Beginner,2/8,0.39,0.81,Advanced,2/8,Beginner,4/8,Intermediate,6/8
3013,Lithium,Out Of The Blue,Tom W. (Rhythm),['Distortion Guitar'],Beginner,2/8,0.95,0.97,0.22,0.79,Beginner,2/8,0.2,0.68,Advanced,7/8,Intermediate,6/8,Intermediate,3/8
3014,Lithium,Atmosphere,Lucy M. (Cello),['Cello'],,,0.33,0.21,0.03,0.79,,,0.31,0.52,Intermediate,7/8,Advanced,7/8,Intermediate,8/8
3015,Lithium,Bring It All Back,Tom W. (Overdubs),['Overdriven Guitar'],Beginner,2/8,0.62,0.1,0.4,0.11,Beginner,2/8,0.54,0.4,Beginner,6/8,Advanced,5/8,Intermediate,1/8
3016,Lithium,I'm Very Smart,Tom (Clean),['Electric Guitar (clean)'],Beginner,2/8,0.75,0.56,0.64,0.26,Beginner,2/8,0.12,0.77,Beginner,2/8,Intermediate,2/8,Advanced,7/8
3017,Lithium,Slack Off,Tom,['Electric Guitar (clean)'],Beginner,2/8,0.19,0.23,0.83,0.1,Beginner,2/8,0.58,0.79,Beginner,1/8,Beginner,6/8,Advanced,1/8
3018,Lithium,Idiom,Tom,"['Solo', 'Distortion Guitar']",Advanced,6/8,0.85,0.16,0.54,0.54,Advanced,6/8,0.82,0.9,Beginner,6/8,Beginner,8/8,Intermediate,5/8
3019,Majör Adamlar (Sufi),Sarı Zülfün,Ýz 2,['Electric Guitar (jazz)'],Intermediate,3/8,0.19,0.27,0.53,0.16,Intermediate,3/8,0.03,0.06,Advanced,8/8,Beginner,6/8,Intermediate,6/8
3020,Lithium,Fit,Tom,['Distortion Guitar'],Intermediate,4/8,0.93,0.99,0.4,0.4,Intermediate,4/8,0.92,0.46,Advanced,4/8,Advanced,7/8,Intermediate,5/8
3021,Lithium,Paracetamol,Tom,['Distortion Guitar'],Beginner,2/8,0.19,0.33,0.23,0.6,Beginner,2/8,0.46,0.58,Intermediate,3/8,Intermediate,8/8,Intermediate,4/8
3022,Revocation,A Visitation,Harmony,['Overdriven Guitar'],Intermediate,4/8,0.1,0.54,0.9,0.74,Intermediate,4/8,0.6,0.3,Advanced,7/8,Beginner,5/8,Advanced,2/8
3023,For All I Want,Voy a Olvidarte,Pista 4,['Acoustic Grand Piano'],,,0.16,0.93,0.26,0.22,,,0.94,0.25,Beginner,3/8,Intermediate,6/8,Intermediate,4/8
3024,Tyoma,king,Distortion Guitar 1,[],Intermediate,3/8,0.49,0.34,0.99,0.74,Intermediate,3/8,0.85,0.48,Beginner,6/8,Beginner,6/8,Intermediate,8/8
3025,Kirisute,Workin' For A Livin'(Cover),Choir Aahs,[],,,0.01,0.51,0.29,0.35,,,0.62,0.59,Advanced,6/8,Beginner,8/8,Intermediate,1/8
3026,Slaver,Maiden Scythe,Lead,['Distortion Guitar'],Beginner,2/8,0.98,0.93,0.83,0.85,Beginner,2/8,0.13,0.06,Beginner,8/8,Intermediate,4/8,Advanced,4/8
3027,Band-Maid,DICE,Miku,['Distortion Guitar'],Beginner,2/8,0.23,0.11,0.94,0.47,Beginner,2/8,0.21,0.43,Intermediate,1/8,Advanced,6/8,Advanced,7/8
3028,Chinaski,Kafe s mlíkem,Overdriven Guitar,['Electric Guitar (clean)'],Beginner,2/8,0.65,0.38,0.07,0.12,Beginner,2/8,0.94,0.93,Beginner,4/8,Beginner,3/8,Beginner,2/8
3029,Lazer Lloyd,Forget The World (Esqueça o Mundo),Harmony,['Electric Guitar (jazz)'],Beginner,2/8,0.55,0.6,0.5,0.7,Beginner,2/8,0.67,0.97,Intermediate,3/8,Beginner,8/8,Advanced,3/8
3030,Revocation,Archfiend,Acoustic,['Electric Guitar (clean)'],Intermediate,3/8,0.97,0.34,0.43,0.95,Intermediate,3/8,0.15,0.59,Intermediate,8/8,Beginner,7/8,Intermediate,4/8
3031,Revocation,Invidious,solo,['Distortion Guitar 1'],Intermediate,5/8,0.58,0.61,0.58,0.44,Intermediate,5/8,0.68,0.43,Beginner,6/8,Beginner,8/8,Intermediate,3/8
3032,Alice in Chains,Love Hate Love,2nd Jerry,['Distortion Guitar'],Beginner,2/8,0.56,0.91,0.6,0.29,Beginner,2/8,0.09,0.25,Beginner,2/8,Advanced,6/8,Beginner,3/8
3033,Nightmare,Ochiwa,Hitsugi Solo,['Distortion Guitar'],Intermediate,4/8,0.78,0.91,0.38,0.11,Intermediate,4/8,0.19,0.22,Advanced,1/8,Intermediate,4/8,Intermediate,3/8
3034,Deathblower,Kult šílenství,Distortion Guitar 2,[],Intermediate,5/8,0.82,0.24,0.42,0.49,Intermediate,5/8,0.52,0.22,Intermediate,2/8,Beginner,1/8,Beginner,6/8
3035,My Chemical Romance,The Foundations Of Decay Oficial,Gerard Way ,['Lead 6 (voice)'],,,0.3,0.53,0.6,0.47,,,0.12,0.97,Beginner,8/8,Advanced,4/8,Beginner,7/8
3036,"Ben Mason, Joey Locastro",Song(ben fucking around),Guitar Lead,['Distortion Guitar'],Beginner,2/8,0.39,0.96,0.32,0.32,Beginner,2/8,0.39,0.14,Advanced,5/8,Advanced,6/8,Intermediate,6/8
3037,Red Hot Chili Peppers,Black Summer,John Frusciante Solo,['Distortion Guitar'],Intermediate,3/8,0.21,0.54,0.51,0.94,Intermediate,3/8,0.93,0.62,Intermediate,7/8,Intermediate,4/8,Intermediate,1/8
3038,Slaver,Voltage Exposure/Nevrosy,Harm.,['Electric Guitar (clean)'],Intermediate,3/8,0.85,0.13,0.84,0.98,Intermediate,3/8,0.41,0.06,Beginner,4/8,Intermediate,5/8,Advanced,1/8
3039,Dsfsdfho,sdihhfsdu,E.Guitar I (Left),['Distortion Guitar'],Beginner,2/8,0.27,0.96,0.37,0.23,Beginner,2/8,0.71,0.49,Beginner,7/8,Advanced,5/8,Beginner,4/8
3040,Slaver,Picnic River Str.,Clean 2,['Electric Guitar (clean)'],Intermediate,4/8,0.34,0.74,0.89,0.92,Intermediate,4/8,0.58,0.67,Intermediate,6/8,Advanced,2/8,Beginner,8/8
3041,Guns N' Roses,My Michelle,Slash,['Distortion Guitar'],Intermediate,3/8,0.33,0.92,0.92,0.98,Intermediate,3/8,0.84,0.28,Advanced,3/8,Beginner,7/8,Intermediate,5/8
3042,Nirvana,Should I Stay or Should I Go (Live 01/16/93),Krist Novoselic,['Electric Guitar (clean)'],Beginner,2/8,0.99,0.28,0.61,0.09,Beginner,2/8,0.76,0.27,Advanced,1/8,Beginner,1/8,Beginner,2/8
3043,Lithium,Nail,Tom,['Distortion Guitar'],Beginner,2/8,0.11,0.07,0.52,0.21,Beginner,2/8,0.49,0.52,Intermediate,1/8,Advanced,8/8,Intermediate,3/8
3044,Guns N' Roses,Sweet Child O' Mine 5 String Bass,"Axl, Izzy, Duff","['Backing Vocals', 'Clarinet']",,,0.53,0.46,0.23,0.92,,,0.28,0.96,Intermediate,7/8,Beginner,7/8,Intermediate,2/8
3045,Guns N' Roses,"Well, Well, Well My Michellle",Izzy Stradlin,['Overdriven Guitar'],Intermediate,3/8,0.16,0.61,0.31,0.89,Intermediate,3/8,0.24,0.81,Intermediate,1/8,Advanced,5/8,Intermediate,1/8
3046,Daisuke Ishiwatari,Haven't You Got Eyes In Your Head,Saxophone,['Alto Sax'],,,0.28,0.74,0.05,0.29,,,0.1,0.39,Intermediate,3/8,Intermediate,3/8,Advanced,8/8
3047,Tom Donahue,welcome to the jungle,#3,['Distortion Guitar'],Intermediate,3/8,0.74,0.91,0.02,0.22,Intermediate,3/8,0.1,0.35,Advanced,5/8,Beginner,7/8,Beginner,2/8
3048,09093847582345,834705823475082374,Track 2,['Distortion Guitar'],Intermediate,3/8,0.5,0.48,0.12,0.51,Intermediate,3/8,0.35,0.36,Intermediate,2/8,Beginner,1/8,Advanced,1/8
3049,Galneryus,T.F.F.B.,Rhythm 2,['Distortion Guitar'],Intermediate,4/8,0.63,0.08,0.18,0.67,Intermediate,4/8,0.55,0.66,Intermediate,8/8,Intermediate,3/8,Intermediate,1/8
3050,Nightmare,Loopain,Hitsugi,['Distortion Guitar'],Beginner,2/8,0.4,0.76,0.63,0.14,Beginner,2/8,0.57,0.66,Advanced,4/8,Advanced,3/8,Intermediate,2/8
3051,Zxcv,zxcv,??,['Distortion Guitar'],Beginner,2/8,0.99,0.86,0.73,0.72,Beginner,2/8,0.37,0.93,Intermediate,1/8,Advanced,5/8,Beginner,7/8
3052,Bump Of Chicken,BUMP OF CHICKENのテーマ,??,['Distortion Guitar'],Beginner,2/8,0.81,0.57,0.99,0.36,Beginner,2/8,0.74,0.56,Beginner,8/8,Intermediate,7/8,Advanced,6/8
3053,Bump Of Chicken,BUMP OF CHICKENのテーマ,??,['Distortion Guitar'],Beginner,2/8,0.22,0.26,0.29,0.09,Beginner,2/8,0.87,0.37,Advanced,7/8,Advanced,7/8,Advanced,7/8
3054,Bump Of Chicken,BUMP OF CHICKENにのテーマ,??,['Distortion Guitar'],Beginner,2/8,0.96,0.54,0.73,0.91,Beginner,2/8,0.12,0.57,Intermediate,1/8,Intermediate,8/8,Intermediate,5/8
3055,Bump Of Chicken,BUMP OF CHICKENのテーマ,???,['Overdriven Guitar'],Beginner,2/8,0.55,0.66,0.59,0.35,Beginner,2/8,0.8,0.99,Intermediate,1/8,Intermediate,6/8,Beginner,3/8
3056,Witchcraft,An Alternative To Freedom,Overdub II (Ritmo/Armonía),['Overdriven Guitar'],Beginner,2/8,0.12,0.4,0.83,0.67,Beginner,2/8,0.5,0.69,Intermediate,2/8,Advanced,5/8,Beginner,3/8
3057,Boc,boc,???,['Overdriven Guitar'],Beginner,2/8,0.92,0.26,0.07,0.15,Beginner,2/8,0.9,0.21,Beginner,1/8,Beginner,5/8,Beginner,8/8
3058,Zxcvbn,zxcvbn,???,['Overdriven Guitar'],Beginner,2/8,0.76,0.84,0.71,0.06,Beginner,2/8,0.95,0.63,Beginner,7/8,Intermediate,4/8,Beginner,7/8
3059,Zxcvbn,zxcvbn,???,['Overdriven Guitar'],Beginner,2/8,0.28,0.73,0.58,0.67,Beginner,2/8,0.56,0.92,Advanced,6/8,Beginner,8/8,Beginner,4/8
3060,Zxcvb,zxcvb,???,['Overdriven Guitar'],Beginner,2/8,0.23,0.03,0.72,0.21,Beginner,2/8,0.02,0.98,Intermediate,8/8,Beginner,5/8,Intermediate,2/8
3061,Zxcvb,zxcvb,???,['Overdriven Guitar'],Beginner,2/8,0.75,0.26,0.06,0.76,Beginner,2/8,0.05,0.0,Advanced,6/8,Beginner,1/8,Advanced,2/8
3062,Fdfd,fdfd,??,['Overdriven Guitar'],Beginner,2/8,0.35,0.06,0.34,0.82,Beginner,2/8,0.27,0.07,Intermediate,6/8,Beginner,8/8,Beginner,2/8
3063,Dfdf,dfdf,???,['Overdriven Guitar'],Beginner,2/8,0.5,0.03,0.43,0.17,Beginner,2/8,0.59,0.75,Advanced,8/8,Beginner,4/8,Beginner,8/8
3064,Cv,cv,??,['Overdriven Guitar'],Beginner,2/8,0.6,0.27,0.43,0.26,Beginner,2/8,0.72,0.9,Advanced,3/8,Intermediate,5/8,Intermediate,3/8
3065,Asdfghj,asdfghj,??,['Overdriven Guitar'],Beginner,2/8,0.14,0.38,0.45,0.87,Beginner,2/8,0.16,0.81,Intermediate,4/8,Intermediate,4/8,Beginner,6/8
3066,Asdfghj,asdfghj,??,['Overdriven Guitar'],Beginner,2/8,0.62,0.97,0.61,0.17,Beginner,2/8,0.23,0.24,Beginner,2/8,Intermediate,5/8,Beginner,3/8
3067,Asdfghj,asdfghj,???,['Overdriven Guitar'],Beginner,2/8,0.06,0.44,0.57,0.04,Beginner,2/8,0.07,0.1,Beginner,5/8,Intermediate,7/8,Beginner,8/8
3068,Asdfghj,asdfghj,???,['Overdriven Guitar'],Beginner,2/8,0.9,0.05,0.08,0.51,Beginner,2/8,0.54,0.57,Beginner,5/8,Beginner,3/8,Intermediate,3/8
3069,Uverworld,扉,Acoustic Guitar (steel),[],Intermediate,3/8,0.56,0.43,0.22,0.67,Intermediate,3/8,0.04,0.3,Advanced,5/8,Intermediate,5/8,Advanced,8/8
3070,Air,Surfing On A Rocket,Track 3,['Lead 8 (bass + lead)'],,,0.9,0.01,0.43,0.92,,,0.18,0.44,Beginner,5/8,Beginner,4/8,Beginner,5/8
3071,Doga,Poletuju,FX2,['Dulcimer'],,,0.28,0.23,0.97,0.06,,,0.33,0.52,Intermediate,5/8,Intermediate,5/8,Beginner,8/8
3072,El Canto Del Loco,Contigo,Bajo,['Electric Guitar (jazz)'],Beginner,1/8,0.12,0.06,0.61,0.81,Beginner,1/8,0.64,0.96,Advanced,7/8,Advanced,3/8,Intermediate,6/8
3073,Home Town Hero,Bed Of Dreams,Bass,['Acoustic Guitar (nylon)'],Intermediate,3/8,0.51,0.4,0.35,0.02,Intermediate,3/8,0.14,0.56,Intermediate,3/8,Beginner,7/8,Beginner,1/8
3074,Rage Against The Machine,War Within A Breath,[Bass Distortion],['Lead 8 (bass + lead)'],,,0.02,0.65,0.23,0.25,,,0.63,0.06,Intermediate,6/8,Advanced,8/8,Beginner,4/8
3075,Rage Against The Machine,Face Off,Track 2,['Acoustic Guitar (nylon)'],Beginner,1/8,0.4,0.47,0.18,0.92,Beginner,1/8,0.64,0.56,Intermediate,3/8,Intermediate,4/8,Intermediate,5/8
3076,Ramzes & The Hooligans,Kiosk,Utwór 4,['Acoustic Guitar (nylon)'],Intermediate,3/8,1.0,0.62,0.73,0.19,Intermediate,3/8,0.21,0.91,Intermediate,3/8,Intermediate,5/8,Intermediate,2/8
3077,Patryk Rose,That Damn Love,Acoustic Bass,['Electric Guitar (jazz)'],Intermediate,3/8,0.19,0.27,0.66,0.45,Intermediate,3/8,0.08,0.28,Intermediate,2/8,Beginner,1/8,Beginner,5/8
3078,Satanic Legion,Unholy Father Of Pain,Bass,['Distortion Guitar'],Intermediate,3/8,0.33,0.78,0.6,0.71,Intermediate,3/8,0.49,0.38,Beginner,6/8,Intermediate,4/8,Advanced,8/8
3079,Scales And Arpeggios,Harmonic Minor Arpeggios,Track 2,['Tremolo Strings'],,,0.88,0.35,0.62,0.76,,,0.49,0.12,Advanced,2/8,Intermediate,6/8,Intermediate,8/8
3080,Top Gear,Top Gear 3000 - Intro,Baixo 1,['Overdriven Guitar'],Intermediate,3/8,0.95,0.65,0.24,0.69,Intermediate,3/8,0.68,0.47,Advanced,6/8,Intermediate,2/8,Intermediate,1/8
3081,Nobuo Uematsu,Another World Of Beasts,Bass,['Electric Guitar (jazz)'],Beginner,1/8,0.33,0.35,0.06,0.16,Beginner,1/8,0.96,0.08,Intermediate,3/8,Advanced,6/8,Beginner,2/8
3082,Underground Vibes,Soul Symphony,Maiko,['Overdriven Guitar'],Intermediate,3/8,0.6,0.12,1.0,0.33,Intermediate,3/8,0.7,0.41,Intermediate,7/8,Advanced,2/8,Beginner,3/8
3083,Akira Yamaoka,You're Not Here,Bass Fill,['Distortion Guitar'],Beginner,1/8,0.99,0.45,0.06,0.98,Beginner,1/8,0.82,0.8,Advanced,4/8,Advanced,3/8,Beginner,3/8
3084,Simon & Garfunkel,The Boxer,Tenor Sax,[],,,0.48,0.65,0.46,0.22,,,0.5,0.85,Advanced,2/8,Advanced,7/8,Beginner,8/8
3085,Sum 41,Reign In Pain,Cone,"['Bass Effect', 'Distortion Guitar']",Intermediate,3/8,0.36,0.95,0.3,0.24,Intermediate,3/8,0.22,0.96,Intermediate,8/8,Advanced,6/8,Intermediate,1/8
3086,Winger,Hungry,Synth,['Tremolo Strings 2'],,,0.17,0.94,0.84,0.91,,,0.32,0.04,Beginner,6/8,Intermediate,4/8,Advanced,8/8
